seed,model,fit_seconds,mll,wall_seconds_including_fit_call,train_rmse,train_mae,train_r2,train_z_mean,train_z_std,train_frac_abs_z_gt_2,train_frac_abs_z_gt_3,target_std,kernel_diag_min,kernel_diag_max,noise_standardized,eig_min,eig_max,condition_number,loo_rmse_model_space,loo_mae_model_space,loo_z_mean,loo_z_std,loo_frac_abs_z_gt_2,loo_frac_abs_z_gt_3,loo_cholesky_jitter,additive_block_outputscale,additive_block_c0,additive_block_main_scale,additive_block_effective_c0,additive_block_effective_main_scale,additive_block_ess_lengthscale,additive_block_conc_lengthscale__cmc,additive_block_conc_lengthscale__peg20k,additive_block_conc_lengthscale__dmso,additive_block_conc_lengthscale__pl127,additive_block_conc_lengthscale__bsa,additive_block_conc_lengthscale__pva,additive_block_conc_lengthscale__tw80,additive_block_conc_lengthscale__glycerol,additive_block_conc_lengthscale__tw20,additive_block_conc_lengthscale__imidazole,additive_block_conc_lengthscale__tx100,additive_block_conc_lengthscale__edta,additive_block_conc_lengthscale__mgso4,additive_block_conc_lengthscale__sucrose,additive_block_conc_lengthscale__cacl2,additive_block_conc_lengthscale__znso4,additive_block_conc_lengthscale__paa,additive_block_conc_lengthscale__mncl2,additive_block_conc_lengthscale__peg200k,additive_block_conc_lengthscale__feso4,additive_block_conc_lengthscale__peg6k,additive_block_conc_lengthscale__peg400
0,additive_block_kernel,5.433413982391357,-0.31315359331501474,5.458714723587036,6474.495489375866,4637.234641311236,0.9391138464706786,-0.0010913614422537092,0.8727711368068505,0.03587443946188341,0.013452914798206279,26268.428212169514,0.6770398235878037,0.9703864660907029,0.07255091286728703,0.07255091286728543,285.7102822415953,3938.0659863540795,0.2899850504700003,0.21161512403827118,0.0009586801714218374,0.9800010150916991,0.04708520179372197,0.017937219730941704,0.0,1.1028167007258158,0.6139187256977626,0.13299882125009255,0.6770398235878037,0.14667332125144958,"[0.6547052868029574, 0.08139305279627206]",0.2923338142354956,0.31669773610976587,0.14069351183093806,0.11679631760868892,0.31991519457187145,0.24721290993597114,0.15643427800859094,0.15689773467034923,0.29923110342697407,0.08242772107412737,0.2605569921856721,0.30416109773460354,0.293154527923678,0.28201019451230847,0.07530238998498145,0.411902681418108,0.21715192960014945,0.27620704238395566,0.2901198592662109,0.26790224791354283,0.30090583249910147,0.3150996087753028
1,additive_block_kernel,5.700470685958862,-0.31315359331501474,5.720679998397827,6474.495489375866,4637.234641311236,0.9391138464706786,-0.0010913614422537092,0.8727711368068505,0.03587443946188341,0.013452914798206279,26268.428212169514,0.6770398235878037,0.9703864660907029,0.07255091286728703,0.07255091286728543,285.7102822415953,3938.0659863540795,0.2899850504700003,0.21161512403827118,0.0009586801714218374,0.9800010150916991,0.04708520179372197,0.017937219730941704,0.0,1.1028167007258158,0.6139187256977626,0.13299882125009255,0.6770398235878037,0.14667332125144958,"[0.6547052868029574, 0.08139305279627206]",0.2923338142354956,0.31669773610976587,0.14069351183093806,0.11679631760868892,0.31991519457187145,0.24721290993597114,0.15643427800859094,0.15689773467034923,0.29923110342697407,0.08242772107412737,0.2605569921856721,0.30416109773460354,0.293154527923678,0.28201019451230847,0.07530238998498145,0.411902681418108,0.21715192960014945,0.27620704238395566,0.2901198592662109,0.26790224791354283,0.30090583249910147,0.3150996087753028
2,additive_block_kernel,5.92910623550415,-0.31315359331501474,5.947943925857544,6474.495489375866,4637.234641311236,0.9391138464706786,-0.0010913614422537092,0.8727711368068505,0.03587443946188341,0.013452914798206279,26268.428212169514,0.6770398235878037,0.9703864660907029,0.07255091286728703,0.07255091286728543,285.7102822415953,3938.0659863540795,0.2899850504700003,0.21161512403827118,0.0009586801714218374,0.9800010150916991,0.04708520179372197,0.017937219730941704,0.0,1.1028167007258158,0.6139187256977626,0.13299882125009255,0.6770398235878037,0.14667332125144958,"[0.6547052868029574, 0.08139305279627206]",0.2923338142354956,0.31669773610976587,0.14069351183093806,0.11679631760868892,0.31991519457187145,0.24721290993597114,0.15643427800859094,0.15689773467034923,0.29923110342697407,0.08242772107412737,0.2605569921856721,0.30416109773460354,0.293154527923678,0.28201019451230847,0.07530238998498145,0.411902681418108,0.21715192960014945,0.27620704238395566,0.2901198592662109,0.26790224791354283,0.30090583249910147,0.3150996087753028
3,additive_block_kernel,5.03900408744812,-0.31315359331501474,5.056204557418823,6474.495489375866,4637.234641311236,0.9391138464706786,-0.0010913614422537092,0.8727711368068505,0.03587443946188341,0.013452914798206279,26268.428212169514,0.6770398235878037,0.9703864660907029,0.07255091286728703,0.07255091286728543,285.7102822415953,3938.0659863540795,0.2899850504700003,0.21161512403827118,0.0009586801714218374,0.9800010150916991,0.04708520179372197,0.017937219730941704,0.0,1.1028167007258158,0.6139187256977626,0.13299882125009255,0.6770398235878037,0.14667332125144958,"[0.6547052868029574, 0.08139305279627206]",0.2923338142354956,0.31669773610976587,0.14069351183093806,0.11679631760868892,0.31991519457187145,0.24721290993597114,0.15643427800859094,0.15689773467034923,0.29923110342697407,0.08242772107412737,0.2605569921856721,0.30416109773460354,0.293154527923678,0.28201019451230847,0.07530238998498145,0.411902681418108,0.21715192960014945,0.27620704238395566,0.2901198592662109,0.26790224791354283,0.30090583249910147,0.3150996087753028
4,additive_block_kernel,4.529502630233765,-0.31315359331501474,4.548426628112793,6474.495489375866,4637.234641311236,0.9391138464706786,-0.0010913614422537092,0.8727711368068505,0.03587443946188341,0.013452914798206279,26268.428212169514,0.6770398235878037,0.9703864660907029,0.07255091286728703,0.07255091286728543,285.7102822415953,3938.0659863540795,0.2899850504700003,0.21161512403827118,0.0009586801714218374,0.9800010150916991,0.04708520179372197,0.017937219730941704,0.0,1.1028167007258158,0.6139187256977626,0.13299882125009255,0.6770398235878037,0.14667332125144958,"[0.6547052868029574, 0.08139305279627206]",0.2923338142354956,0.31669773610976587,0.14069351183093806,0.11679631760868892,0.31991519457187145,0.24721290993597114,0.15643427800859094,0.15689773467034923,0.29923110342697407,0.08242772107412737,0.2605569921856721,0.30416109773460354,0.293154527923678,0.28201019451230847,0.07530238998498145,0.411902681418108,0.21715192960014945,0.27620704238395566,0.2901198592662109,0.26790224791354283,0.30090583249910147,0.3150996087753028
5,additive_block_kernel,5.203181743621826,-0.31315359331501474,5.220067262649536,6474.495489375866,4637.234641311236,0.9391138464706786,-0.0010913614422537092,0.8727711368068505,0.03587443946188341,0.013452914798206279,26268.428212169514,0.6770398235878037,0.9703864660907029,0.07255091286728703,0.07255091286728543,285.7102822415953,3938.0659863540795,0.2899850504700003,0.21161512403827118,0.0009586801714218374,0.9800010150916991,0.04708520179372197,0.017937219730941704,0.0,1.1028167007258158,0.6139187256977626,0.13299882125009255,0.6770398235878037,0.14667332125144958,"[0.6547052868029574, 0.08139305279627206]",0.2923338142354956,0.31669773610976587,0.14069351183093806,0.11679631760868892,0.31991519457187145,0.24721290993597114,0.15643427800859094,0.15689773467034923,0.29923110342697407,0.08242772107412737,0.2605569921856721,0.30416109773460354,0.293154527923678,0.28201019451230847,0.07530238998498145,0.411902681418108,0.21715192960014945,0.27620704238395566,0.2901198592662109,0.26790224791354283,0.30090583249910147,0.3150996087753028
6,additive_block_kernel,4.784412622451782,-0.31315359331501474,4.802344560623169,6474.495489375866,4637.234641311236,0.9391138464706786,-0.0010913614422537092,0.8727711368068505,0.03587443946188341,0.013452914798206279,26268.428212169514,0.6770398235878037,0.9703864660907029,0.07255091286728703,0.07255091286728543,285.7102822415953,3938.0659863540795,0.2899850504700003,0.21161512403827118,0.0009586801714218374,0.9800010150916991,0.04708520179372197,0.017937219730941704,0.0,1.1028167007258158,0.6139187256977626,0.13299882125009255,0.6770398235878037,0.14667332125144958,"[0.6547052868029574, 0.08139305279627206]",0.2923338142354956,0.31669773610976587,0.14069351183093806,0.11679631760868892,0.31991519457187145,0.24721290993597114,0.15643427800859094,0.15689773467034923,0.29923110342697407,0.08242772107412737,0.2605569921856721,0.30416109773460354,0.293154527923678,0.28201019451230847,0.07530238998498145,0.411902681418108,0.21715192960014945,0.27620704238395566,0.2901198592662109,0.26790224791354283,0.30090583249910147,0.3150996087753028
7,additive_block_kernel,4.817070007324219,-0.31315359331501474,4.832032680511475,6474.495489375866,4637.234641311236,0.9391138464706786,-0.0010913614422537092,0.8727711368068505,0.03587443946188341,0.013452914798206279,26268.428212169514,0.6770398235878037,0.9703864660907029,0.07255091286728703,0.07255091286728543,285.7102822415953,3938.0659863540795,0.2899850504700003,0.21161512403827118,0.0009586801714218374,0.9800010150916991,0.04708520179372197,0.017937219730941704,0.0,1.1028167007258158,0.6139187256977626,0.13299882125009255,0.6770398235878037,0.14667332125144958,"[0.6547052868029574, 0.08139305279627206]",0.2923338142354956,0.31669773610976587,0.14069351183093806,0.11679631760868892,0.31991519457187145,0.24721290993597114,0.15643427800859094,0.15689773467034923,0.29923110342697407,0.08242772107412737,0.2605569921856721,0.30416109773460354,0.293154527923678,0.28201019451230847,0.07530238998498145,0.411902681418108,0.21715192960014945,0.27620704238395566,0.2901198592662109,0.26790224791354283,0.30090583249910147,0.3150996087753028
8,additive_block_kernel,5.665729284286499,-0.31315359331501474,5.684185743331909,6474.495489375866,4637.234641311236,0.9391138464706786,-0.0010913614422537092,0.8727711368068505,0.03587443946188341,0.013452914798206279,26268.428212169514,0.6770398235878037,0.9703864660907029,0.07255091286728703,0.07255091286728543,285.7102822415953,3938.0659863540795,0.2899850504700003,0.21161512403827118,0.0009586801714218374,0.9800010150916991,0.04708520179372197,0.017937219730941704,0.0,1.1028167007258158,0.6139187256977626,0.13299882125009255,0.6770398235878037,0.14667332125144958,"[0.6547052868029574, 0.08139305279627206]",0.2923338142354956,0.31669773610976587,0.14069351183093806,0.11679631760868892,0.31991519457187145,0.24721290993597114,0.15643427800859094,0.15689773467034923,0.29923110342697407,0.08242772107412737,0.2605569921856721,0.30416109773460354,0.293154527923678,0.28201019451230847,0.07530238998498145,0.411902681418108,0.21715192960014945,0.27620704238395566,0.2901198592662109,0.26790224791354283,0.30090583249910147,0.3150996087753028
9,additive_block_kernel,4.760549783706665,-0.31315359331501474,4.7752087116241455,6474.495489375866,4637.234641311236,0.9391138464706786,-0.0010913614422537092,0.8727711368068505,0.03587443946188341,0.013452914798206279,26268.428212169514,0.6770398235878037,0.9703864660907029,0.07255091286728703,0.07255091286728543,285.7102822415953,3938.0659863540795,0.2899850504700003,0.21161512403827118,0.0009586801714218374,0.9800010150916991,0.04708520179372197,0.017937219730941704,0.0,1.1028167007258158,0.6139187256977626,0.13299882125009255,0.6770398235878037,0.14667332125144958,"[0.6547052868029574, 0.08139305279627206]",0.2923338142354956,0.31669773610976587,0.14069351183093806,0.11679631760868892,0.31991519457187145,0.24721290993597114,0.15643427800859094,0.15689773467034923,0.29923110342697407,0.08242772107412737,0.2605569921856721,0.30416109773460354,0.293154527923678,0.28201019451230847,0.07530238998498145,0.411902681418108,0.21715192960014945,0.27620704238395566,0.2901198592662109,0.26790224791354283,0.30090583249910147,0.3150996087753028
