TMB_log10,TMB,H2O2_log10,H2O2
-0.5762983178295447,0.26527827337326687,-0.7812875334609302,0.1654674090230436
-1.382082018582175,0.04148756839857296,-1.801549802192528,0.015792474990646184
-1.0405784884646594,0.09107968323866475,-0.6656852815779417,0.2159308619745195
-2.2648392406978326,0.00543451459329467,-0.9072164002961505,0.12381794726088245
-0.03591668734006204,0.9206261626638351,-1.5740406152696091,0.026666092712560437
-2.030508426255851,0.009321623841920713,-2.1225682239575114,0.007541049230932289
-0.48475993443580223,0.3275216894692811,-1.9003127242809603,0.012580192183028242
-0.8986808529981898,0.12627551459127337,-1.6875403465387222,0.020533342600946698
-1.2172022453318505,0.0606453846094622,-2.2670209221809023,0.005407282726784846
-2.223269598606217,0.005980402321394199,-1.7456601837875856,0.01796138476014181
-1.0952583241646208,0.08030483162212776,-1.01863031262771,0.09580092168444
-0.5558966279561526,0.27803749819965007,-1.2055213820573105,0.062298647455390786
-1.2631280591897982,0.0545596958732595,-0.0010710515702547774,0.9975368511622146
-0.8278653236447036,0.14863965079832123,-0.40451632777508295,0.39398861493427717
-0.12922034748070566,0.7426422487692177,-0.5557162409971548,0.2781530068194485
-1.9989568991893896,0.010024047150774349,-1.1407852543631736,0.0723127280034203
-1.2945581171807308,0.05075068200467415,-1.2807405041095754,0.05239133872859055
-0.73475791410274,0.1841798376852852,-2.0553402798393323,0.008803588210715375
-1.591139973989097,0.025636576313138777,-0.8224341670473627,0.15051016538132678
-0.228206924687973,0.5912798448487185,-2.1738914865007044,0.0067005200874644365
-1.819211420974972,0.015163120246430689,-1.4208004758495716,0.03794892904070141
-1.93598201324884,0.01158825349101017,-0.617159588829564,0.24145733956988955
-0.3468976443415881,0.4498858726776567,-0.11720441568415785,0.7634763425066875
-1.7309129119429494,0.018581770336303274,-1.9438347759641603,0.011380601698190416
-0.9762028494888217,0.1056324008044921,-1.4606321633044812,0.03462325040493977
-1.7128115542338942,0.019372623837925023,-0.3029998429164771,0.49773726500956544
-2.1343744368458895,0.0073388086327148,-0.1712158846694627,0.6741928079818706
-0.6598135848671955,0.21887008931122995,-0.27411699394080147,0.5319649347246911
-0.2097620793890278,0.6169328851565962,-0.9524081512035685,0.11158141095558344
-1.4572770930031407,0.03489176244562028,-0.4937239116297696,0.3208308252333309
-0.4195857977782218,0.38055216954935805,-1.3075870308953683,0.0492507636878479
-1.5233061608522664,0.02997048970208688,-1.6019386335078316,0.025006986893840625
